日期,开盘,收盘,最高,最低,成交量,MA7,MA14,MA20,MA60,DIF,DEA,MACD,RSI14
2025-11-24,64.0,64.6,64.78,63.08,9268697.0,,,,,0.0,0.0,0.0,
2025-11-25,64.88,65.07,66.35,64.8,11040394.0,,,,,0.03749287749288044,0.007498575498576088,0.02999430199430435,
2025-11-26,64.8,64.76,65.56,64.64,7306559.0,,,,,0.041711025072842745,0.01434106541342942,0.027369959659413325,
2025-11-27,64.79,64.24,65.63,64.17,9025894.0,,,,,0.0030590207543212955,0.012084656481607794,-0.009025635727286499,
2025-11-28,64.17,65.1,65.25,63.8,8044711.0,,,,,0.041345239356573416,0.01793677305660092,0.023408466299972494,
2025-12-01,65.11,66.85,66.85,64.77,12364486.0,,,,,0.21047153325454815,0.05644372509619037,0.1540278081583578,
2025-12-02,66.35,65.7,66.82,65.53,7956729.0,65.18857142857142,,,,0.24884146114324324,0.09492327230560094,0.1539181888376423,
2025-12-03,65.69,64.82,65.96,64.7,6144996.0,65.22,,,,0.20586814013131516,0.11711224587074379,0.08875589426057137,
2025-12-04,65.2,65.46,66.09,64.66,7335443.0,65.27571428571429,,,,0.22090763916605738,0.13787132452980652,0.08303631463625086,
2025-12-05,65.28,66.1,66.25,64.53,7492716.0,65.46714285714286,,,,0.28122738753612,0.16654253713106923,0.11468485040505075,
2025-12-08,66.48,66.22,67.0,66.03,10715769.0,65.74999999999999,,,,0.33485422870883497,0.2002048754466224,0.13464935326221256,
2025-12-09,66.0,67.41,67.77,65.79,11660496.0,66.08,,,,0.46798233243436016,0.25376036684416997,0.2142219655901902,
2025-12-10,66.74,66.77,67.0,65.86,8825266.0,66.06857142857142,,,,0.5158977147556811,0.30618783642647224,0.2097098783292089,
2025-12-11,66.69,64.97,66.85,64.97,8229143.0,65.96428571428571,65.57642857142856,,,0.40396933663414814,0.32574413646800743,0.07822520016614071,51.68641750227896
2025-12-12,64.97,66.16,66.49,64.59,9386835.0,66.15571428571428,65.68785714285714,,,0.4066012986570513,0.3419155689058162,0.0646857297512351,56.414473684210535
2025-12-15,65.69,64.38,65.79,64.36,7968998.0,66.00142857142858,65.63857142857142,,,0.2620354421376021,0.32593954355217336,-0.06390410141457126,47.438752783964375
2025-12-16,64.06,64.36,65.1,64.01,6657029.0,65.75285714285714,65.61,,,0.14418999395697085,0.28958963363313284,-0.14539963967616198,48.482549317147175
2025-12-17,64.23,66.03,66.09,64.05,10221958.0,65.72571428571429,65.73785714285714,,,0.18343712151965974,0.26835913121043825,-0.08492200969077851,56.245638520586205
2025-12-18,65.8,66.47,66.98,65.62,9759925.0,65.59142857142857,65.83571428571427,,,0.24719555910843383,0.2641264167900374,-0.016930857681603573,54.92451473759887
2025-12-19,67.2,65.81,67.37,65.78,9693236.0,65.4542857142857,65.76142857142857,65.564,,0.24168213489326718,0.25963756041068337,-0.01795542551741619,45.94383775351017
2025-12-22,65.8,66.1,66.76,65.7,9196443.0,65.61571428571429,65.78999999999999,65.639,,0.2577421913071021,0.2592584865899671,-0.00151629528286501,51.672240802675546
2025-12-23,65.92,65.19,66.57,65.08,9388879.0,65.47714285714285,65.81642857142857,65.645,,0.1947950310466382,0.24636579548130133,-0.05157076443466313,51.542952460383674
2025-12-24,65.5,69.32,69.84,65.34,30298540.0,66.18285714285715,66.09214285714286,65.87299999999999,,0.4727162584089797,0.29163588806683705,0.18108037034214264,62.46770025839795
2025-12-25,70.88,69.76,72.55,69.56,31951988.0,66.9542857142857,66.35357142857143,66.14899999999999,,0.7201734449930512,0.3773433994520799,0.34283004554097135,61.97643979057597
2025-12-26,69.87,69.28,70.36,69.02,17463627.0,67.41857142857143,66.57214285714285,66.35799999999999,,0.8675524550518929,0.4753852105720425,0.3921672444798504,59.78260869565219
2025-12-29,69.19,69.89,71.33,69.19,20405130.0,67.90714285714286,66.74928571428572,66.51,,1.0217946714221853,0.5846671027420711,0.43712756868011415,58.23373173970785
